epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.9449,1.34085,0.75041,1,0.6199,0.000367913,0.000367913,0.000367913
2,106.53,0.83381,0.77977,1,0.57387,0.000713884,0.000713884,0.000713884
3,153.976,0.78975,0.87602,1,0.33917,0.00103541,0.00103541,0.00103541
4,202.637,0.74301,0.90375,1,0.24386,0.00100101,0.00100101,0.00100101
5,257.135,0.72559,0.90865,1,0.26447,0.000964348,0.000964348,0.000964348
6,302.752,0.66038,0.9429,1,0.21609,0.000927685,0.000927685,0.000927685
7,352.623,0.61341,0.8956,1,0.26024,0.000891022,0.000891022,0.000891022
8,400.273,0.60987,0.92333,1,0.23695,0.000854359,0.000854359,0.000854359
9,445.446,0.56892,0.9217,1,0.24003,0.000817696,0.000817696,0.000817696
10,490.252,0.57645,0.93638,1,0.20455,0.000781033,0.000781033,0.000781033
11,534.897,0.57449,0.93964,1,0.16927,0.00074437,0.00074437,0.00074437
12,579.258,0.52779,0.86949,1,0.3411,0.000707707,0.000707707,0.000707707
13,626.261,0.5315,0.91517,1,0.21626,0.000671044,0.000671044,0.000671044
14,677.025,0.50718,0.94454,1,0.1671,0.000634381,0.000634381,0.000634381
15,729.935,0.49215,0.95106,1,0.14097,0.000597718,0.000597718,0.000597718
16,787.321,0.51404,0.95922,1,0.11038,0.000561055,0.000561055,0.000561055
17,837.153,0.48374,0.93638,1,0.1634,0.000524392,0.000524392,0.000524392
18,891.57,0.44137,0.95432,1,0.12743,0.000487729,0.000487729,0.000487729
19,937.958,0.44078,0.92496,1,0.19557,0.000451066,0.000451066,0.000451066
20,989.615,0.43245,0.95759,1,0.11219,0.000414403,0.000414403,0.000414403
21,1041.78,0.40058,0.96411,1,0.11683,0.00037774,0.00037774,0.00037774
22,1095.33,0.37617,0.96085,1,0.11256,0.000341077,0.000341077,0.000341077
23,1145.05,0.38935,0.96248,1,0.12619,0.000304414,0.000304414,0.000304414
24,1195.99,0.38359,0.95759,1,0.15392,0.000267751,0.000267751,0.000267751
25,1245.46,0.37826,0.95922,1,0.11254,0.000231088,0.000231088,0.000231088
26,1300.5,0.37346,0.96085,1,0.08697,0.000194425,0.000194425,0.000194425
27,1351.25,0.38368,0.96248,1,0.08641,0.000157762,0.000157762,0.000157762
28,1408.16,0.36646,0.9739,1,0.08405,0.000121099,0.000121099,0.000121099
29,1464.55,0.34397,0.96574,1,0.08203,8.4436e-05,8.4436e-05,8.4436e-05
30,1522.21,0.3402,0.96737,1,0.07657,4.7773e-05,4.7773e-05,4.7773e-05
